timeframe,setup,rr,feature_a,feature_b,bin_a,bin_b,trades,wins,losses,win_rate_pct_num,win_rate_pct
1h,PFR,1.0,ma_gap_pct,slope_strength,2.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,dist_to_sma80_pct,dist_to_low_n_pct,2.0,1.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,slope_strength,ret_3_pct,3.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,atr_pct,rolling_low_20,3.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,atr_pct,bars_since_new_high,0.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,atr_pct,context_bars_since_extreme,0.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,range_pct,pullback_from_new_high_pct,1.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,range_pct,context_pullback_pct,1.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,body_pct,upper_wick,2.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,upper_wick,ret_1_pct,3.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,upper_wick,dist_to_high_n_pct,3.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,upper_wick,vol_z,0.0,0.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,lower_wick,bars_since_new_high,1.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,lower_wick,context_bars_since_extreme,1.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,lower_wick_pct,clv,3.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,rsi,vol_z,3.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,rolling_high_20,pos_in_range_n,2.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,pos_in_range_n,pullback_from_new_high_pct,0.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,pos_in_range_n,context_pullback_pct,0.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.5,dist_to_sma80_pct,atr_pct,2.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,2.0,body_pct,upper_wick_pct,3.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,2.0,upper_wick_pct,ret_1_pct,3.0,3.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,lower_wick,lower_wick_pct,3.0,3.0,62,37,25,59.67741935483871,"59,7%"
1h,PFR,1.0,sma8,body,3.0,3.0,47,28,19,59.57446808510638,"59,6%"
1h,PFR,1.0,sma80,body,3.0,3.0,47,28,19,59.57446808510638,"59,6%"
1h,PFR,1.0,slope_strength,pos_in_range_n,0.0,0.0,47,28,19,59.57446808510638,"59,6%"
1h,PFR,1.0,body,rolling_high_20,3.0,3.0,47,28,19,59.57446808510638,"59,6%"
1h,PFR,1.0,body,rolling_low_20,3.0,3.0,47,28,19,59.57446808510638,"59,6%"
1h,PFR,1.0,body_pct,pos_in_range_n,3.0,3.0,47,28,19,59.57446808510638,"59,6%"
1h,PFR,1.0,ret_1_pct,pos_in_range_n,3.0,3.0,47,28,19,59.57446808510638,"59,6%"
1h,PFR,1.0,atr_pct,upper_wick_pct,3.0,3.0,42,25,17,59.523809523809526,"59,5%"
1h,PFR,1.0,body,pullback_from_new_high_pct,3.0,0.0,42,25,17,59.523809523809526,"59,5%"
1h,PFR,1.0,body,context_pullback_pct,3.0,0.0,42,25,17,59.523809523809526,"59,5%"
1h,PFR,1.0,body_pct,dist_to_low_n_pct,3.0,3.0,42,25,17,59.523809523809526,"59,5%"
1h,PFR,1.0,ret_1_pct,dist_to_low_n_pct,3.0,3.0,42,25,17,59.523809523809526,"59,5%"
1h,PFR,1.0,dist_to_sma80_pct,bars_since_new_high,0.0,3.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,dist_to_sma80_pct,context_bars_since_extreme,0.0,3.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,atr_pct,body,3.0,3.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,atr_pct,lower_wick,2.0,2.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,range,dist_to_low_n_pct,3.0,3.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,range_pct,pos_in_range_n,3.0,3.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,body_pct,lower_wick,3.0,3.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,lower_wick,ret_1_pct,3.0,3.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,ret_5_pct,pos_in_range_n,1.0,0.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.5,range,range_pct,1.0,1.0,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,slope_strength,after_new_high_flag,3.0,1.0,101,60,41,59.4059405940594,"59,4%"
1h,PFR,1.0,slope_strength,context_after_extreme_flag,3.0,1.0,101,60,41,59.4059405940594,"59,4%"
1h,PFR,1.0,body,after_new_high_flag,3.0,1.0,101,60,41,59.4059405940594,"59,4%"
1h,PFR,1.0,body,context_after_extreme_flag,3.0,1.0,101,60,41,59.4059405940594,"59,4%"
1h,PFR,1.0,sma8,atr_pct,2.0,3.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,sma8,ret_3_pct,3.0,2.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,sma8,dist_to_low_n_pct,2.0,3.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,sma80,ret_3_pct,3.0,2.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,ma_gap_pct,lower_wick,3.0,3.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,atr_pct,rolling_high_20,3.0,2.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,range_pct,pos_in_range_n,0.0,0.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,body,rsi,1.0,0.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,ret_3_pct,rolling_high_20,2.0,3.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,ret_3_pct,rolling_low_20,2.0,3.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,ret_5_pct,dist_to_low_n_pct,3.0,2.0,32,19,13,59.375,"59,4%"
1h,PFR,1.0,ret_5_pct,pullback_from_new_high_pct,0.0,2.0,32,19,13,59.375,"59,4%"
