timeframe,symbol,setup,side,signal_time,entry_time,exit_time,signal_idx,entry_idx,exit_idx,entry,stop,risk,rr,tp,outcome,exit_reason,fill_delay,bars_in_trade,sma8,sma80,ma_gap_pct,dist_to_sma80_pct,slope_strength,atr,atr_pct,range,range_pct,body,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,clv,ret_1_pct,ret_3_pct,ret_5_pct,rsi,rolling_high_20,rolling_low_20,pos_in_range_n,dist_to_high_n_pct,dist_to_low_n_pct,vol_z,bars_since_new_high,pullback_from_new_high_pct,after_new_high_flag,context_bars_since_extreme,context_pullback_pct,context_after_extreme_flag
1h,BTC_USDT,DL,long,2022-01-20T18:00:00+00:00,2022-01-20T19:00:00+00:00,2022-01-20T19:00:00+00:00,14266,14267,14267,43073.1,42832.9,240.1999999999971,1.0,43313.299999999996,loss,sl,1,1,42728.8125,42053.8375,1.6050259384770738,1.853962792337319,0.2178493468897008,307.27623200618035,0.717373625797986,240.0,0.560309103855627,195.5,0.45641845751572946,44.0,0.5,0.10272333570686495,0.0011673106330325562,0.0020833333333333333,-0.45434474424225213,-1.0190758992016047,1.139288328492838,61.33940476139167,43477.5,41637.0,0.6500950828579191,1.5034960953459326,2.793374344846907,0.15496651371812625,2.0,1.4812259214536254,1,2.0,1.4812259214536254,1
1h,BTC_USDT,PFR,long,2022-01-25T15:00:00+00:00,2022-01-25T16:00:00+00:00,2022-01-26T04:00:00+00:00,14383,14384,14396,36747.1,35966.4,780.6999999999971,1.0,37527.799999999996,win,tp,1,13,36375.0625,35416.425,2.7067596461246355,3.1004682149595757,0.16671459283298415,569.828426348865,1.5605538247788275,780.5,2.137507017760068,235.0,0.6435799476920128,232.5,313.0,0.6367333525037998,0.8571937175642552,0.7021140294682896,0.6477487286208561,0.05617361758096795,0.29251812788397835,57.981494976133796,37508.0,35700.0,0.4504977876106195,2.720836927795807,2.230620712319763,1.2882561146707916,19.0,2.648768262770609,1,19.0,2.648768262770609,1
1h,BTC_USDT,PFR,long,2022-01-26T07:00:00+00:00,2022-01-26T08:00:00+00:00,2022-01-26T08:00:00+00:00,14399,14400,14400,37352.1,37131.9,220.1999999999971,1.0,37572.299999999996,win,tp,1,1,37191.0,35810.45,3.855159597268404,4.215389641850362,0.1242631296891747,478.07395571470795,1.2810127430726366,220.0,0.5894962486602359,39.0,0.1045016077170418,32.0,149.0,0.0857449088960343,0.39924973204715974,0.8545454545454545,0.10461092781846038,-1.1717974180734836,1.4268242967794498,58.33959776852888,37926.5,35966.5,0.690561224489796,1.62513397642015,3.6267416934619505,-0.27549201458254097,2.0,1.5991457160560558,1,2.0,1.5991457160560558,1
1h,BTC_USDT,PFR,long,2022-01-26T13:00:00+00:00,2022-01-26T14:00:00+00:00,2022-01-26T19:00:00+00:00,14405,14406,14411,38240.1,37553.4,686.6999999999971,1.0,38926.799999999996,loss,sl,1,6,37710.1875,36008.825,4.724848700283897,6.0129010041288575,0.1877914287211191,473.53020074668,1.2404521421561272,686.5,1.7983444229056424,434.5,1.1382092523707235,66.0,186.0,0.17289254466390735,0.4872426258710117,0.9038601602330663,1.151313610408189,0.6977142932510283,1.6171322854138692,65.3774858890493,38240.0,36416.5,0.963805867836578,0.17289254466390735,4.603918897679049,1.4959742282088546,0.0,0.17259414225941425,1,0.0,0.17259414225941425,1
1h,BTC_USDT,PFR,long,2022-01-28T19:00:00+00:00,2022-01-28T20:00:00+00:00,2022-01-28T20:00:00+00:00,14459,14460,14460,37214.6,36758.4,456.1999999999971,1.0,37670.799999999996,win,tp,1,1,36899.625,36880.2,0.052670538663030335,0.8942467774036011,0.26756920182746574,459.6467076404878,1.235277365333211,456.0,1.2254770223058318,176.5,0.4743348562214459,4.5,275.0,0.01209352324643913,0.7390486428379468,0.9901315789473685,0.4765955148716694,0.342474988539232,1.2544559035619907,56.85518000182757,37468.5,36155.5,0.8031226199543031,0.69470572426767,2.833915614082236,-0.6498518628214844,13.0,0.6899128601358474,1,13.0,0.6899128601358474,1
1h,BTC_USDT,PFR,long,2022-01-28T23:00:00+00:00,2022-01-29T00:00:00+00:00,2022-01-29T01:00:00+00:00,14463,14464,14465,37833.6,37634.9,198.6999999999971,1.0,38032.299999999996,loss,sl,1,2,37378.0,36943.90625,1.17500771862748,2.0736674265461574,0.17982630601962343,436.3697187869631,1.157172417891708,198.5,0.526385574118271,53.0,0.14054627419782553,123.5,22.0,0.3274993370458764,0.05833996287456908,0.3778337531486146,0.1407440847651209,-0.06492732115173094,1.826724452185191,62.146079125639965,37983.5,36155.5,0.850382932166302,0.7252718111906655,4.122248740387166,-0.9187313567935023,2.0,0.7200494951755367,1,2.0,0.7200494951755367,1
1h,BTC_USDT,PFR,long,2022-01-29T23:00:00+00:00,2022-01-30T00:00:00+00:00,2022-01-30T00:00:00+00:00,14487,14488,14488,38170.6,37908.9,261.6999999999971,1.0,38432.299999999996,loss,sl,1,1,37962.4375,37080.19375,2.379285706941597,2.9134320529271815,0.20210689063298437,350.1495038494058,0.9175705345826334,261.5,0.6852635578674284,32.5,0.08516659897013928,10.0,219.0,0.026205107375427472,0.5738918515218616,0.9617590822179732,0.0852391942929076,-0.42272816230674026,1.017842016094872,60.80019284982805,38713.5,37306.5,0.6069651741293532,1.449142437861139,2.237916169861506,-0.3202376822158352,2.0,1.4284422746587109,1,2.0,1.4284422746587109,1
1h,BTC_USDT,PFR,long,2022-02-01T15:00:00+00:00,2022-02-01T16:00:00+00:00,2022-02-01T16:00:00+00:00,14551,14552,14552,38630.1,38181.9,448.1999999999971,1.0,39078.299999999996,win,tp,1,1,38505.1875,37901.25625,1.5934333311181512,1.8594205568054265,0.059414339739936796,363.1040555832037,0.9405378842231873,448.0,1.1604413821685748,113.5,0.2939957519556546,24.0,310.5,0.06216650261617365,0.8042791275967467,0.9464285714285714,0.29486263557836345,-0.07247502200135036,0.9755969973582967,57.65559746817929,39100.0,37996.0,0.552536231884058,1.279593845516241,1.580065274827747,0.8580494432942467,6.0,1.2634271099744245,1,6.0,1.2634271099744245,1
1h,BTC_USDT,PFR,long,2022-02-04T22:00:00+00:00,2022-02-04T23:00:00+00:00,2022-02-04T23:00:00+00:00,14630,14631,14631,40646.1,40363.4,282.6999999999971,1.0,40928.799999999996,win,tp,1,1,40396.375,37877.2875,6.650654432422072,7.2555683930640535,0.8327589814279208,457.6216397195976,1.1264394031325093,282.5,0.6953760569100689,31.5,0.07753750723068024,20.5,230.5,0.05046091740409349,0.567377632275295,0.9274336283185841,0.07759767453319188,-0.2002112658756494,0.31235339144175533,77.63874510998936,40867.5,37230.5,0.9334616442122629,0.5956849761849085,8.356820223751091,-0.3586888135034511,3.0,0.5921575824310271,1,3.0,0.5921575824310271,1
1h,BTC_USDT,PFR,long,2022-02-05T02:00:00+00:00,2022-02-05T03:00:00+00:00,2022-02-05T06:00:00+00:00,14634,14635,14638,41430.1,41171.9,258.1999999999971,1.0,41688.299999999996,win,tp,1,4,41015.9375,38009.34375,7.910143805100556,8.785093139104776,0.2711706591532945,481.153663890864,1.1636544587853586,258.0,0.6239645936370122,75.0,0.18138505628982915,81.5,101.5,0.19710509450161431,0.24547444284556877,0.6841085271317829,0.18171465952729893,-0.5136903902603351,1.858649061437645,77.15765227399743,41901.5,37297.0,0.8799000977304811,1.33741248171034,9.79842074077657,-0.6010549714466921,2.0,1.3197618223691276,1,2.0,1.3197618223691276,1
1h,BTC_USDT,PFR,long,2022-02-05T09:00:00+00:00,2022-02-05T10:00:00+00:00,2022-02-05T17:00:00+00:00,14641,14642,14649,41549.6,41224.4,325.1999999999971,1.0,41874.799999999996,loss,sl,1,8,41445.6875,38262.6375,8.31895083029758,8.575892082713857,0.014893847487001732,384.61802329678915,0.9258088371288011,325.0,0.7823031003273637,119.0,0.2864432890429424,5.5,200.5,0.01323897554400154,0.48262083574041975,0.9830769230769231,0.28726614363308034,0.14342706311996078,0.23887079261672994,76.04334407735051,41901.5,37297.0,0.9223585622760343,0.8605334103601002,10.222896206431734,-0.4131925748692253,9.0,0.8531914131952317,1,9.0,0.8531914131952317,1
1h,BTC_USDT,PFR,long,2022-02-05T20:00:00+00:00,2022-02-05T21:00:00+00:00,2022-02-05T23:00:00+00:00,14652,14653,14655,41667.1,41373.9,293.1999999999971,1.0,41960.299999999996,loss,sl,1,3,41544.0,38683.05,7.395874937472606,7.649215871033946,0.08074780269919792,365.13439091761904,0.876841628446326,293.0,0.7036165409922674,113.5,0.2725613563229432,25.0,154.5,0.06003554104029586,0.37101964362902834,0.9146757679180887,0.27330628363653187,0.17079213875057508,-0.24195673526100636,64.4289192862437,41866.0,40940.5,0.7579686655861696,0.5379184477210508,1.6845972815907015,-0.13379938207086767,20.0,0.619309571256399,1,20.0,0.619309571256399,1
1h,BTC_USDT,PFR,long,2022-02-09T16:00:00+00:00,2022-02-09T17:00:00+00:00,2022-02-09T19:00:00+00:00,14744,14745,14747,44119.1,43606.9,512.1999999999971,1.0,44631.299999999996,win,tp,1,3,43839.9375,43195.3875,1.492173209465948,2.015521911917107,0.19601279898334317,493.69247451904334,1.1203478294354907,512.0,1.1618935233513368,211.5,0.47996187536876506,53.0,247.5,0.12027413425316572,0.561657513729406,0.896484375,0.4822766192751127,0.2776260695430466,0.8479134006934341,56.03508756836614,44417.0,43117.0,0.73,0.7965324740162483,2.1535878001180047,1.2426512545754762,3.0,0.7902379719476776,1,3.0,0.7902379719476776,1
1h,BTC_USDT,PFR,long,2022-02-15T05:00:00+00:00,2022-02-15T06:00:00+00:00,2022-02-15T08:00:00+00:00,14877,14878,14880,43596.1,43367.9,228.1999999999971,1.0,43824.299999999996,win,tp,1,3,43157.75,42359.03125,1.885592579504518,2.7950798567896897,0.38510782444939484,343.5536964117942,0.7889986827085737,228.0,0.5236203293296282,78.5,0.18028156075603427,53.0,96.5,0.12171876076522059,0.22162000780837332,0.7675438596491229,0.1806071621668348,0.01033567991548523,2.3156905363332037,69.98086200268287,43762.5,41788.0,0.8888326158521145,0.5040993959993569,4.030498587603059,-0.833542873187718,1.0,0.5015709797200799,1,1.0,0.5015709797200799,1
1h,BTC_USDT,PFR,long,2022-02-15T13:00:00+00:00,2022-02-15T14:00:00+00:00,2022-02-15T17:00:00+00:00,14885,14886,14889,44283.6,44000.9,282.6999999999971,1.0,44566.299999999996,loss,sl,1,4,44012.625,42528.53125,3.4896426149210127,4.024283697782298,0.1969371609403255,315.92323565632137,0.7141121963298404,282.5,0.6385623869801085,88.0,0.19891500904159135,43.5,151.0,0.09832730560578662,0.34132007233273054,0.8460176991150442,0.19931146946909895,-0.0497040350639355,0.6094787592104023,75.22916683232165,44389.0,41788.0,0.942714340638216,0.3367992766726944,5.54249547920434,-0.7803922765146295,2.0,0.3356687467615851,1,2.0,0.3356687467615851,1
1h,BTC_USDT,PFR,long,2022-02-17T00:00:00+00:00,2022-02-17T01:00:00+00:00,2022-02-17T03:00:00+00:00,14920,14921,14923,44087.1,43809.9,277.1999999999971,1.0,44364.299999999996,loss,sl,1,3,43953.5625,43255.3875,1.6140763968419032,1.8312458765974597,0.11862194222146547,295.7079345871494,0.6713387470052771,277.0,0.6288665645042284,159.5,0.36210908678131565,39.5,78.0,0.08967591804302173,0.17708155967989103,0.8574007220216606,0.3634250820269802,-0.005675368898983013,-0.34276793592614707,53.98504617418214,44340.0,43325.0,0.7118226600985221,0.6640558487995913,1.6402747034451444,-0.6009978445191815,25.0,1.5412298544828664,1,25.0,1.5412298544828664,1
1h,BTC_USDT,PFR,long,2022-02-23T12:00:00+00:00,2022-02-23T13:00:00+00:00,2022-02-23T14:00:00+00:00,15076,15077,15078,39053.1,38720.4,332.6999999999971,1.0,39385.799999999996,loss,sl,1,2,38515.5625,38096.13125,1.1009812184012817,2.3896619423789955,0.3239844641277736,397.0609747153654,1.0179354074714864,332.5,0.8524220322253983,243.5,0.6242549318703293,46.5,42.5,0.11921090074731135,0.10895619960775767,0.8601503759398497,0.6281763537393958,0.4325604747866141,2.3295775017380116,67.8050864271218,39100.0,37362.0,0.9462025316455697,0.23970363913706688,4.215964005999,-0.3647221519005107,1.0,0.23913043478260868,1,1.0,0.23913043478260868,1
1h,BTC_USDT,PFR,long,2022-02-25T09:00:00+00:00,2022-02-25T10:00:00+00:00,2022-02-25T12:00:00+00:00,15121,15122,15124,38733.1,37995.9,737.1999999999971,1.0,39470.299999999996,win,tp,1,3,38620.5625,37401.99375,3.2580315320757425,3.342084537939902,0.030399461864845285,596.3276642972266,1.5428119225324088,737.0,1.906757735692849,304.5,0.7877988202421607,81.0,351.5,0.20956224774914622,0.9093966677015419,0.8900949796472184,0.7940543712106285,-0.09563441805163775,-0.12532137827676593,62.09816963335558,39762.0,35172.5,0.758143588626212,2.871778950636448,9.00212149435993,-0.21596553892517545,13.0,2.7916100799758565,1,13.0,2.7916100799758565,1
