timeframe,setup,rr,feature,mode,pct,threshold,trades_train,win_rate_train_num,win_rate_train,delta_vs_base_train_num,delta_vs_base_train,trades_test,win_rate_test_num,win_rate_test,delta_vs_base_test_num,delta_vs_base_test
1h,PFR,1.5,context_after_extreme_flag_v2,low,50,1.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,context_after_extreme_flag_v2,low,60,1.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,range,high,40,353.29999999999995,129,44.18604651162791,"44,2%",2.571139679329768,"2,6%",61,34.42622950819672,"34,4%",-0.14167172637117886,"-0,1%"
1h,PFR,1.5,dist_to_high_n_pct,low,50,0.7214983506230532,161,43.47826086956522,"43,5%",1.8633540372670794,"1,9%",61,34.42622950819672,"34,4%",-0.14167172637117886,"-0,1%"
1h,PFR,1.5,dist_to_high_n_pct,low,60,0.8189122060201598,193,41.45077720207254,"41,5%",-0.16412963022560234,"-0,2%",67,34.32835820895522,"34,3%",-0.23954302561267582,"-0,2%"
1h,PFR,1.5,atr,high,40,384.2181694364948,129,41.86046511627907,"41,9%",0.24555828398093382,"0,2%",70,34.285714285714285,"34,3%",-0.28218694885361373,"-0,3%"
1h,PFR,1.5,ret_5_pct,low,40,0.35768098894303435,129,46.51162790697674,"46,5%",4.896721074678602,"4,9%",41,34.146341463414636,"34,1%",-0.4215597711532624,"-0,4%"
1h,PFR,1.5,lower_wick_pct,low,50,0.29260307779147143,161,45.962732919254655,"46,0%",4.347826086956516,"4,3%",53,33.9622641509434,"34,0%",-0.6056370836245009,"-0,6%"
1h,PFR,1.5,slope_strength,low,60,0.15581070944141034,193,40.932642487046635,"40,9%",-0.6822643452515038,"-0,7%",56,33.92857142857143,"33,9%",-0.6393298059964678,"-0,6%"
1h,PFR,1.5,atr_pct,low,60,0.8919087537813836,193,44.04145077720207,"44,0%",2.4265439449039334,"2,4%",74,33.78378378378378,"33,8%",-0.784117450784116,"-0,8%"
1h,PFR,1.5,new_high_event,low,10,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,new_high_event,low,15,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,new_high_event,low,20,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,new_high_event,low,25,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,new_high_event,low,30,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,new_high_event,low,40,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,new_high_event,low,50,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,new_high_event,low,60,0.0,295,39.32203389830509,"39,3%",-2.2928729339930527,"-2,3%",72,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,dist_to_low_n_pct,low,60,3.3031564169967442,193,43.523316062176164,"43,5%",1.9084092298780249,"1,9%",69,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,upper_wick,high,50,32.0,163,42.331288343558285,"42,3%",0.7163815112601455,"0,7%",60,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,dist_to_high_n_pct,low,40,0.5972368707486417,129,45.73643410852713,"45,7%",4.1215272762289885,"4,1%",51,33.33333333333333,"33,3%",-1.2345679012345698,"-1,2%"
1h,PFR,1.5,lower_wick_pct,low,60,0.3426958839283675,193,44.04145077720207,"44,0%",2.4265439449039334,"2,4%",64,32.8125,"32,8%",-1.7554012345678984,"-1,8%"
1h,PFR,1.5,dist_to_low_n_pct,low,50,2.8161602207227485,161,43.47826086956522,"43,5%",1.8633540372670794,"1,9%",64,32.8125,"32,8%",-1.7554012345678984,"-1,8%"
1h,PFR,1.5,range_pct,low,60,0.8847204040668963,193,40.41450777202073,"40,4%",-1.2003990602774124,"-1,2%",61,32.78688524590164,"32,8%",-1.7810159886662618,"-1,8%"
1h,PFR,1.5,range_pct,low,50,0.7406220065841391,161,40.993788819875775,"41,0%",-0.6211180124223645,"-0,6%",55,32.72727272727273,"32,7%",-1.8406285072951718,"-1,8%"
1h,PFR,1.5,slope_strength,low,50,0.12608123173678304,161,41.61490683229814,"41,6%",0.0,"0,0%",52,32.69230769230769,"32,7%",-1.875593542260205,"-1,9%"
1h,PFR,1.5,ret_5_pct,low,50,0.5015715303607782,161,47.20496894409938,"47,2%",5.590062111801238,"5,6%",53,32.075471698113205,"32,1%",-2.4924295364546936,"-2,5%"
1h,PFR,1.5,pullback_from_new_high_atr,high,60,0.8585152646223818,193,40.932642487046635,"40,9%",-0.6822643452515038,"-0,7%",44,31.818181818181817,"31,8%",-2.749719416386082,"-2,7%"
1h,PFR,1.5,context_pullback_atr,high,60,0.8585152646223818,193,40.932642487046635,"40,9%",-0.6822643452515038,"-0,7%",44,31.818181818181817,"31,8%",-2.749719416386082,"-2,7%"
1h,PFR,1.5,dist_to_sma80_pct,low,60,2.6754192802728127,193,43.005181347150256,"43,0%",1.3902745148521163,"1,4%",63,31.746031746031743,"31,7%",-2.821869488536155,"-2,8%"
1h,PFR,1.5,slope_strength,low,40,0.10149616353194678,129,40.310077519379846,"40,3%",-1.3048293129182937,"-1,3%",41,31.70731707317073,"31,7%",-2.860584161397167,"-2,9%"
1h,PFR,1.5,upper_wick_pct,low,40,0.08054750629713014,129,41.86046511627907,"41,9%",0.24555828398093382,"0,2%",41,31.70731707317073,"31,7%",-2.860584161397167,"-2,9%"
1h,PFR,1.5,rsi,low,60,64.50795143334865,193,41.45077720207254,"41,5%",-0.16412963022560234,"-0,2%",54,31.48148148148148,"31,5%",-3.0864197530864175,"-3,1%"
1h,PFR,1.5,body_pct,low,60,0.3250041466783582,193,38.34196891191709,"38,3%",-3.2729379203810467,"-3,3%",54,31.48148148148148,"31,5%",-3.0864197530864175,"-3,1%"
1h,PFR,1.5,ret_1_pct,low,60,0.32606387787439844,193,38.34196891191709,"38,3%",-3.2729379203810467,"-3,3%",54,31.48148148148148,"31,5%",-3.0864197530864175,"-3,1%"
1h,PFR,1.5,upper_wick,high,60,23.820000000000437,193,41.968911917098445,"42,0%",0.35400508480030624,"0,4%",67,31.343283582089555,"31,3%",-3.2246176524783436,"-3,2%"
1h,PFR,1.5,dist_to_low_n_pct,low,40,2.4122253170444536,129,43.41085271317829,"43,4%",1.7959458808801543,"1,8%",48,31.25,"31,2%",-3.3179012345678984,"-3,3%"
1h,PFR,1.5,ma_gap_pct,low,50,1.5950859754375375,161,38.50931677018634,"38,5%",-3.1055900621118013,"-3,1%",55,30.909090909090907,"30,9%",-3.658810325476992,"-3,7%"
1h,PFR,1.5,ma_gap_pct,low,60,2.302504615757065,193,41.968911917098445,"42,0%",0.35400508480030624,"0,4%",68,30.88235294117647,"30,9%",-3.6855482933914274,"-3,7%"
1h,PFR,1.5,atr_pct,low,50,0.7849868809863159,161,44.099378881987576,"44,1%",2.484472049689437,"2,5%",68,30.88235294117647,"30,9%",-3.6855482933914274,"-3,7%"
1h,PFR,1.5,ret_5_pct,low,60,0.7104765559729342,193,44.559585492227974,"44,6%",2.944678659929835,"2,9%",62,30.64516129032258,"30,6%",-3.9227399442453184,"-3,9%"
1h,PFR,1.5,lower_wick_pct,low,40,0.2343007158217586,129,41.86046511627907,"41,9%",0.24555828398093382,"0,2%",46,30.434782608695656,"30,4%",-4.1331186258722425,"-4,1%"
1h,PFR,1.5,body_pct,low,50,0.2455680144533141,161,38.50931677018634,"38,5%",-3.1055900621118013,"-3,1%",43,30.23255813953488,"30,2%",-4.335343095033018,"-4,3%"
1h,PFR,1.5,ret_1_pct,low,50,0.24617261926371808,161,38.50931677018634,"38,5%",-3.1055900621118013,"-3,1%",43,30.23255813953488,"30,2%",-4.335343095033018,"-4,3%"
1h,PFR,1.5,atr_pct,low,40,0.7033326947936847,129,42.63565891472868,"42,6%",1.0207520824305405,"1,0%",60,30.0,"30,0%",-4.567901234567898,"-4,6%"
1h,PFR,1.5,dist_to_sma80_pct,low,40,1.7620429127982447,129,38.759689922480625,"38,8%",-2.855216909817514,"-2,9%",50,30.0,"30,0%",-4.567901234567898,"-4,6%"
1h,PFR,1.5,vol_z,low,60,-0.05397099774138075,193,37.82383419689119,"37,8%",-3.791072635406948,"-3,8%",47,29.78723404255319,"29,8%",-4.7806671920147075,"-4,8%"
1h,PFR,1.5,bars_since_new_high,high,50,3.0,197,43.14720812182741,"43,1%",1.532301289529272,"1,5%",55,29.09090909090909,"29,1%",-5.4769921436588085,"-5,5%"
1h,PFR,1.5,bars_since_new_high,high,60,3.0,197,43.14720812182741,"43,1%",1.532301289529272,"1,5%",55,29.09090909090909,"29,1%",-5.4769921436588085,"-5,5%"
1h,PFR,1.5,context_bars_since_extreme,high,50,3.0,197,43.14720812182741,"43,1%",1.532301289529272,"1,5%",55,29.09090909090909,"29,1%",-5.4769921436588085,"-5,5%"
1h,PFR,1.5,context_bars_since_extreme,high,60,3.0,197,43.14720812182741,"43,1%",1.532301289529272,"1,5%",55,29.09090909090909,"29,1%",-5.4769921436588085,"-5,5%"
1h,PFR,1.5,dist_to_sma80_pct,low,50,2.1485161420916756,161,41.61490683229814,"41,6%",0.0,"0,0%",59,28.8135593220339,"28,8%",-5.754341912533999,"-5,8%"
1h,PFR,1.5,bars_since_new_high,high,40,4.0,157,42.675159235668794,"42,7%",1.0602524033706544,"1,1%",46,28.26086956521739,"28,3%",-6.307031669350508,"-6,3%"
1h,PFR,1.5,context_bars_since_extreme,high,40,4.0,157,42.675159235668794,"42,7%",1.0602524033706544,"1,1%",46,28.26086956521739,"28,3%",-6.307031669350508,"-6,3%"
1h,PFR,1.5,ret_3_pct,low,60,0.13271331832459318,193,40.41450777202073,"40,4%",-1.2003990602774124,"-1,2%",47,27.659574468085108,"27,7%",-6.908326766482791,"-6,9%"
1h,PFR,1.5,pos_in_range_n,low,60,0.8307747311717052,193,38.860103626943,"38,9%",-2.754803205355138,"-2,8%",44,27.27272727272727,"27,3%",-7.295173961840629,"-7,3%"
1h,PFR,1.5,range_pct,low,40,0.6178358923885037,129,41.08527131782946,"41,1%",-0.52963551446868,"-0,5%",45,26.666666666666668,"26,7%",-7.901234567901231,"-7,9%"
1h,PFR,1.5,ma_gap_pct,low,40,1.244609206256271,129,38.759689922480625,"38,8%",-2.855216909817514,"-2,9%",42,26.190476190476193,"26,2%",-8.377425044091705,"-8,4%"
1h,PFR,1.5,rsi,low,50,62.06400356432208,161,42.2360248447205,"42,2%",0.6211180124223574,"0,6%",45,24.444444444444443,"24,4%",-10.123456790123456,"-10,1%"
1h,PFR,2.0,rsi,high,60,60.02982140081139,187,30.481283422459892,"30,5%",-4.4546140134375385,"-4,5%",47,40.42553191489361,"40,4%",9.656301145662841,"9,7%"
1h,PFR,2.0,pullback_from_new_high_atr,low,50,1.0478573574500691,156,33.33333333333333,"33,3%",-1.6025641025641022,"-1,6%",43,39.53488372093023,"39,5%",8.765652951699462,"8,8%"
1h,PFR,2.0,context_pullback_atr,low,50,1.0478573574500691,156,33.33333333333333,"33,3%",-1.6025641025641022,"-1,6%",43,39.53488372093023,"39,5%",8.765652951699462,"8,8%"
1h,PFR,2.0,ret_3_pct,high,50,0.0338930526985414,156,33.33333333333333,"33,3%",-1.6025641025641022,"-1,6%",42,38.095238095238095,"38,1%",7.326007326007325,"7,3%"
1h,PFR,2.0,pos_in_range_n,high,50,0.7900873322345376,156,33.33333333333333,"33,3%",-1.6025641025641022,"-1,6%",46,36.95652173913043,"37,0%",6.18729096989966,"6,2%"
1h,PFR,2.0,pullback_from_new_high_atr,low,60,1.2590976263064255,187,31.016042780748666,"31,0%",-3.9198546551487645,"-3,9%",49,36.734693877551024,"36,7%",5.965463108320254,"6,0%"
1h,PFR,2.0,context_pullback_atr,low,60,1.2590976263064255,187,31.016042780748666,"31,0%",-3.9198546551487645,"-3,9%",49,36.734693877551024,"36,7%",5.965463108320254,"6,0%"
1h,PFR,2.0,pos_in_range_n,high,60,0.7493333333333334,187,33.155080213903744,"33,2%",-1.7808172219936864,"-1,8%",53,35.84905660377358,"35,8%",5.079825834542813,"5,1%"
1h,PFR,2.0,clv,high,60,0.8205672541857332,187,35.294117647058826,"35,3%",0.35822021116139524,"0,4%",51,35.294117647058826,"35,3%",4.524886877828056,"4,5%"
1h,PFR,2.0,vol_z,high,60,-0.45575153218504233,187,37.967914438502675,"38,0%",3.0320170026052438,"3,0%",54,35.18518518518518,"35,2%",4.415954415954413,"4,4%"
1h,PFR,2.0,clv,high,50,0.8566664627057456,156,33.97435897435898,"34,0%",-0.9615384615384528,"-1,0%",43,34.883720930232556,"34,9%",4.114490161001786,"4,1%"
1h,PFR,2.0,body,high,50,79.95000000000073,156,39.743589743589745,"39,7%",4.807692307692314,"4,8%",66,34.84848484848485,"34,8%",4.079254079254081,"4,1%"
1h,PFR,2.0,body,high,40,109.8,125,42.4,"42,4%",7.464102564102568,"7,5%",61,34.42622950819672,"34,4%",3.6569987389659495,"3,7%"
1h,PFR,2.0,body_pct,high,60,0.18072295896955215,187,36.898395721925134,"36,9%",1.962498286027703,"2,0%",44,34.090909090909086,"34,1%",3.3216783216783163,"3,3%"
1h,PFR,2.0,ret_1_pct,high,60,0.18105016111102046,187,36.898395721925134,"36,9%",1.962498286027703,"2,0%",44,34.090909090909086,"34,1%",3.3216783216783163,"3,3%"
1h,PFR,2.0,pullback_from_new_high_pct,low,40,0.7023214230698991,125,34.4,"34,4%",-0.5358974358974322,"-0,5%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_pullback_pct,low,40,0.7023214230698991,125,34.4,"34,4%",-0.5358974358974322,"-0,5%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,10,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,15,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,20,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,25,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,30,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,40,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,50,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,after_new_high_recent_flag,high,60,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,10,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,15,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,20,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,25,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,30,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,40,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,50,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,context_after_extreme_flag_v2,high,60,1.0,209,27.751196172248804,"27,8%",-7.184701263648627,"-7,2%",50,34.0,"34,0%",3.23076923076923,"3,2%"
1h,PFR,2.0,upper_wick_pct,low,60,0.13143585046875164,187,33.155080213903744,"33,2%",-1.7808172219936864,"-1,8%",56,33.92857142857143,"33,9%",3.1593406593406606,"3,2%"
1h,PFR,2.0,pullback_from_new_high_pct,low,60,0.9275716464209308,187,32.0855614973262,"32,1%",-2.8503359385712272,"-2,9%",59,33.89830508474576,"33,9%",3.1290743155149876,"3,1%"
1h,PFR,2.0,context_pullback_pct,low,60,0.9275716464209308,187,32.0855614973262,"32,1%",-2.8503359385712272,"-2,9%",59,33.89830508474576,"33,9%",3.1290743155149876,"3,1%"
1h,PFR,2.0,pullback_from_new_high_pct,low,50,0.8014789122528121,156,30.76923076923077,"30,8%",-4.166666666666661,"-4,2%",57,33.33333333333333,"33,3%",2.5641025641025585,"2,6%"
1h,PFR,2.0,context_pullback_pct,low,50,0.8014789122528121,156,30.76923076923077,"30,8%",-4.166666666666661,"-4,2%",57,33.33333333333333,"33,3%",2.5641025641025585,"2,6%"
1h,PFR,2.0,ret_3_pct,high,60,-0.0317991611401291,187,35.294117647058826,"35,3%",0.35822021116139524,"0,4%",51,33.33333333333333,"33,3%",2.5641025641025585,"2,6%"
1h,PFR,2.0,bars_since_new_high,low,60,4.0,192,33.33333333333333,"33,3%",-1.6025641025641022,"-1,6%",45,33.33333333333333,"33,3%",2.5641025641025585,"2,6%"
1h,PFR,2.0,context_bars_since_extreme,low,60,4.0,192,33.33333333333333,"33,3%",-1.6025641025641022,"-1,6%",45,33.33333333333333,"33,3%",2.5641025641025585,"2,6%"
1h,PFR,2.0,body,high,60,54.7,187,37.967914438502675,"38,0%",3.0320170026052438,"3,0%",70,32.857142857142854,"32,9%",2.087912087912084,"2,1%"
1h,PFR,2.0,lower_wick,high,40,143.8,125,34.4,"34,4%",-0.5358974358974322,"-0,5%",55,32.72727272727273,"32,7%",1.9580419580419566,"2,0%"
1h,PFR,2.0,upper_wick_pct,low,50,0.10676079738981245,156,34.61538461538461,"34,6%",-0.3205128205128176,"-0,3%",52,32.69230769230769,"32,7%",1.9230769230769234,"1,9%"
1h,PFR,2.0,vol_z,high,50,-0.2887925555793114,156,39.743589743589745,"39,7%",4.807692307692314,"4,8%",46,32.608695652173914,"32,6%",1.839464882943144,"1,8%"
1h,PFR,2.0,ret_5_pct,high,60,0.34803102513803363,187,31.016042780748666,"31,0%",-3.9198546551487645,"-3,9%",40,32.5,"32,5%",1.73076923076923,"1,7%"
1h,PFR,2.0,range,high,50,271.25,156,37.17948717948718,"37,2%",2.2435897435897516,"2,2%",69,31.88405797101449,"31,9%",1.1148272017837186,"1,1%"
1h,PFR,2.0,lower_wick,high,60,79.9,187,35.294117647058826,"35,3%",0.35822021116139524,"0,4%",69,31.88405797101449,"31,9%",1.1148272017837186,"1,1%"
1h,PFR,2.0,lower_wick,high,50,108.75,156,36.53846153846153,"36,5%",1.6025641025641022,"1,6%",64,31.25,"31,2%",0.48076923076922995,"0,5%"
1h,PFR,2.0,atr_pct,low,60,0.888126309795943,187,36.898395721925134,"36,9%",1.962498286027703,"2,0%",71,30.985915492957744,"31,0%",0.21668472372697423,"0,2%"
1h,PFR,2.0,sma8,high,40,41405.7,125,36.8,"36,8%",1.8641025641025664,"1,9%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,sma8,high,50,35218.5625,156,39.743589743589745,"39,7%",4.807692307692314,"4,8%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,sma8,high,60,28021.232500000002,187,38.50267379679144,"38,5%",3.5667763608940106,"3,6%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,sma80,high,40,40070.8765,125,37.6,"37,6%",2.6641025641025706,"2,7%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,sma80,high,50,34096.664375,156,39.1025641025641,"39,1%",4.166666666666671,"4,2%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,sma80,high,60,27232.120000000003,187,38.50267379679144,"38,5%",3.5667763608940106,"3,6%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,atr,high,60,237.07132522272954,187,36.36363636363637,"36,4%",1.427738927738936,"1,4%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,rolling_high_20,high,40,41887.3,125,36.8,"36,8%",1.8641025641025664,"1,9%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,rolling_high_20,high,50,36189.75,156,39.743589743589745,"39,7%",4.807692307692314,"4,8%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,rolling_high_20,high,60,28229.56,187,38.50267379679144,"38,5%",3.5667763608940106,"3,6%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,rolling_low_20,high,40,39560.32,125,37.6,"37,6%",2.6641025641025706,"2,7%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,rolling_low_20,high,50,33728.25,156,39.743589743589745,"39,7%",4.807692307692314,"4,8%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,rolling_low_20,high,60,27048.82,187,38.50267379679144,"38,5%",3.5667763608940106,"3,6%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,10,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,15,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,20,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,25,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,30,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,40,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,50,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,new_high_event,high,60,0.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,last_new_high,high,40,41901.5,126,36.507936507936506,"36,5%",1.5720390720390753,"1,6%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,last_new_high,high,50,36238.5,156,39.1025641025641,"39,1%",4.166666666666671,"4,2%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,last_new_high,high,60,28448.02,187,38.50267379679144,"38,5%",3.5667763608940106,"3,6%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,after_new_high_recent_flag,low,40,1.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,after_new_high_recent_flag,low,50,1.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,after_new_high_recent_flag,low,60,1.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,context_after_extreme_flag_v2,low,40,1.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,context_after_extreme_flag_v2,low,50,1.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,context_after_extreme_flag_v2,low,60,1.0,312,34.93589743589743,"34,9%",0.0,"0,0%",78,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,dist_to_high_n_pct,low,60,0.8171697402557591,187,33.68983957219251,"33,7%",-1.2460578637049196,"-1,2%",65,30.76923076923077,"30,8%",0.0,"0,0%"
1h,PFR,2.0,atr,high,50,312.216578312583,156,34.61538461538461,"34,6%",-0.3205128205128176,"-0,3%",75,30.666666666666664,"30,7%",-0.10256410256410575,"-0,1%"
1h,PFR,2.0,range,high,60,211.68000000000177,187,36.898395721925134,"36,9%",1.962498286027703,"2,0%",75,30.666666666666664,"30,7%",-0.10256410256410575,"-0,1%"
1h,PFR,2.0,lower_wick_pct,low,50,0.27904677802551475,156,37.82051282051282,"37,8%",2.884615384615387,"2,9%",49,30.612244897959183,"30,6%",-0.15698587127158703,"-0,2%"
1h,PFR,2.0,dist_to_high_n_pct,low,40,0.5972368707486417,125,37.6,"37,6%",2.6641025641025706,"2,7%",49,30.612244897959183,"30,6%",-0.15698587127158703,"-0,2%"
1h,PFR,2.0,range,high,40,350.9,125,40.0,"40,0%",5.064102564102569,"5,1%",59,30.508474576271187,"30,5%",-0.2607561929595832,"-0,3%"
1h,PFR,2.0,dist_to_high_n_pct,low,50,0.7194049777468914,156,35.8974358974359,"35,9%",0.961538461538467,"1,0%",59,30.508474576271187,"30,5%",-0.2607561929595832,"-0,3%"
1h,PFR,2.0,dist_to_low_n_pct,low,60,3.280737700850216,187,37.4331550802139,"37,4%",2.49725764431647,"2,5%",66,30.303030303030305,"30,3%",-0.4662004662004655,"-0,5%"
1h,PFR,2.0,clv,low,60,0.8801074065148377,187,35.294117647058826,"35,3%",0.35822021116139524,"0,4%",43,30.23255813953488,"30,2%",-0.5366726296958895,"-0,5%"
1h,PFR,2.0,new_high_event,low,10,0.0,286,33.21678321678322,"33,2%",-1.7191142191142106,"-1,7%",70,30.0,"30,0%",-0.76923076923077,"-0,8%"
1h,PFR,2.0,new_high_event,low,15,0.0,286,33.21678321678322,"33,2%",-1.7191142191142106,"-1,7%",70,30.0,"30,0%",-0.76923076923077,"-0,8%"
1h,PFR,2.0,new_high_event,low,20,0.0,286,33.21678321678322,"33,2%",-1.7191142191142106,"-1,7%",70,30.0,"30,0%",-0.76923076923077,"-0,8%"
1h,PFR,2.0,new_high_event,low,25,0.0,286,33.21678321678322,"33,2%",-1.7191142191142106,"-1,7%",70,30.0,"30,0%",-0.76923076923077,"-0,8%"
