timeframe,setup,rr,feature,mode,pct,threshold,trades_train,win_rate_train_num,win_rate_train,delta_vs_base_train_num,delta_vs_base_train,trades_test,win_rate_test_num,win_rate_test,delta_vs_base_test_num,delta_vs_base_test
1h,PFR,1.5,context_after_extreme_flag_v2,high,30,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,context_after_extreme_flag_v2,high,40,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,context_after_extreme_flag_v2,high,50,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,context_after_extreme_flag_v2,high,60,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,lower_wick,high,60,81.76000000000059,193,41.968911917098445,"42,0%",0.35400508480030624,"0,4%",70,37.142857142857146,"37,1%",2.5749559082892475,"2,6%"
1h,PFR,1.5,body,high,40,110.94000000000086,129,48.837209302325576,"48,8%",7.2223024700274365,"7,2%",62,37.096774193548384,"37,1%",2.528872958980486,"2,5%"
1h,PFR,1.5,body,high,60,54.7,193,46.63212435233161,"46,6%",5.017217520033469,"5,0%",73,36.986301369863014,"37,0%",2.4184001352951157,"2,4%"
1h,PFR,1.5,upper_wick_pct,low,60,0.13143585046875164,193,39.89637305699482,"39,9%",-1.718533775303321,"-1,7%",57,36.84210526315789,"36,8%",2.274204028589992,"2,3%"
1h,PFR,1.5,clv,high,60,0.8267522553782096,193,42.487046632124354,"42,5%",0.8721397998262148,"0,9%",52,36.53846153846153,"36,5%",1.9705603038936346,"2,0%"
1h,PFR,1.5,clv,high,50,0.8576296033401979,161,40.993788819875775,"41,0%",-0.6211180124223645,"-0,6%",44,36.36363636363637,"36,4%",1.7957351290684684,"1,8%"
